Year,economy,politics,war,peace,social issues,environment,terrorism,people and society,technology,international relations
1790,4,14,7,2,4,2,4,6,0,2
1791,6,13,1,7,2,1,5,9,0,0
1792,5,9,2,9,1,0,1,6,0,1
1793,4,12,12,10,1,1,0,5,0,0
1794,2,37,22,6,3,1,2,14,0,4
1795,4,14,13,11,2,0,2,6,0,0
1796,11,87,26,49,12,5,13,39,1,2
1797,2,29,8,9,0,1,1,11,0,0
1798,0,1,0,3,0,0,1,6,0,0
1799,2,16,4,5,1,0,1,8,0,0
1800,0,0,0,1,1,0,0,0,0,0
1801,6,33,19,15,1,1,10,8,0,2
1802,13,6,4,6,3,0,2,6,0,0
1803,15,31,7,12,0,1,2,10,0,3
1805,7,25,15,16,1,4,6,20,1,2
1806,5,8,22,14,5,1,1,14,0,1
1807,6,22,24,25,2,0,10,8,1,8
1809,5,25,14,7,3,2,6,8,0,2
1810,2,25,15,6,3,0,4,10,0,1
1811,11,22,5,1,3,1,1,4,0,0
1812,3,12,34,10,1,0,5,9,0,1
1813,4,33,84,23,2,2,12,30,0,2
1814,0,8,14,8,0,0,6,3,0,0
1815,3,20,15,12,0,0,2,3,0,3
1816,11,29,11,12,1,2,5,15,1,0
1817,12,83,38,20,6,6,7,30,0,4
1818,1,46,12,10,1,1,4,17,0,0
1819,6,42,6,36,0,2,0,8,0,2
1820,10,35,16,11,1,0,1,5,0,0
1821,16,62,29,40,7,2,3,26,0,4
1822,9,35,30,9,2,1,0,12,0,0
1823,9,60,23,17,4,0,3,9,0,3
1824,18,75,43,35,6,1,6,16,0,3
1825,24,117,51,36,10,5,7,44,4,2
1826,17,71,36,30,9,2,2,15,0,1
1827,19,78,34,40,8,3,1,14,0,2
1828,14,59,28,21,6,2,3,21,0,0
1829,18,129,34,22,10,1,6,49,0,5
1830,34,222,10,46,6,12,17,74,0,10
1831,26,109,21,41,2,7,6,37,0,5
1832,29,267,38,34,6,9,16,82,0,1
1833,29,273,40,35,9,11,21,96,0,12
1834,19,335,33,44,11,9,11,85,0,7
1835,15,146,13,27,1,1,4,47,1,2
1836,13,139,34,19,4,0,6,43,0,2
1837,48,348,81,39,31,11,26,162,0,18
1838,15,145,39,25,5,6,9,39,0,8
1839,53,109,9,19,8,5,13,44,0,4
1840,31,110,17,20,2,2,10,32,0,1
1841,40,320,48,29,6,3,14,117,2,9
1842,66,181,37,93,8,3,14,48,1,5
1843,18,100,25,15,1,1,2,27,0,2
1844,33,124,40,61,4,1,17,43,0,4
1845,38,260,59,63,15,4,21,85,0,7
1846,34,336,233,112,7,4,8,62,0,6
1847,34,160,242,108,11,0,11,43,0,2
1848,43,316,221,77,8,3,12,121,0,4
1849,9,226,152,123,6,2,2,27,0,11
1850,9,182,30,60,1,4,11,39,0,2
1851,20,164,59,25,11,3,8,39,0,8
1853,18,96,29,16,8,6,8,44,1,8
1854,18,256,81,48,13,18,20,42,0,8
1855,5,117,46,37,7,3,7,27,1,0
1856,11,188,69,29,4,6,13,50,0,2
1857,28,164,60,51,8,2,11,74,1,5
1858,36,323,57,54,6,6,11,149,0,6
1859,30,157,54,36,6,1,8,30,0,6
1860,20,409,63,43,7,16,3,107,2,4
1861,15,103,58,17,2,5,13,57,0,3
1862,23,43,23,16,4,0,6,54,0,1
1863,10,59,120,15,1,0,0,35,0,9
1864,13,63,40,8,3,1,3,17,0,1
1865,12,130,80,15,8,1,8,73,0,5
1866,14,171,59,15,3,2,4,54,0,5
1867,27,370,224,49,33,2,12,171,0,2
1868,34,233,66,38,9,0,12,92,0,3
1869,6,29,4,1,4,0,2,13,0,3
1870,42,208,90,64,13,4,3,61,0,9
1871,5,91,23,24,10,2,3,22,0,1
1872,16,107,30,30,7,1,1,24,1,9
1873,29,126,32,14,7,3,5,31,0,2
1874,29,150,27,21,7,1,3,23,0,6
1875,3,10,0,0,0,0,0,2,0,0
1876,13,112,29,14,2,2,1,18,1,4
